Date,Close,High,Low,Open,Volume
25-07-2008,31.36,31.36,31.36,31.36,0
28-07-2008,29.89,29.89,29.89,29.89,0
29-07-2008,29.95,29.95,29.95,29.95,0
30-07-2008,29.21,29.21,29.21,29.21,0
31-07-2008,29.4,29.4,29.4,29.4,0
01-08-2008,30.91,30.91,30.91,30.91,0
04-08-2008,32.4,32.4,32.4,32.4,0
05-08-2008,31.48,31.48,31.48,31.48,0
06-08-2008,30.53,30.53,30.53,30.53,0
07-08-2008,30.11,30.11,30.11,30.11,0
08-08-2008,30.51,30.51,30.51,30.51,0
11-08-2008,29.94,29.94,29.94,29.94,0
12-08-2008,29.92,29.92,29.92,29.92,0
13-08-2008,29.32,29.32,29.32,29.32,0
14-08-2008,28.13,28.13,28.13,28.13,0
15-08-2008,29.29,29.29,29.29,29.29,0
18-08-2008,29.52,29.52,29.52,29.52,0
19-08-2008,29.9,29.9,29.9,29.9,0
20-08-2008,29.77,29.77,29.77,29.77,0
21-08-2008,29.18,29.18,29.18,29.18,0
22-08-2008,28.42,28.42,28.42,28.42,0
25-08-2008,28.41,28.41,28.41,28.41,0
26-08-2008,28.62,28.62,28.62,28.62,0
27-08-2008,27.97,27.97,27.97,27.97,0
28-08-2008,27.76,27.76,27.76,27.76,0
29-08-2008,27.62,27.62,27.62,27.62,0
01-09-2008,27.9,27.9,27.9,27.9,0
02-09-2008,28.48,28.48,28.48,28.48,0
03-09-2008,28.94,28.94,28.94,28.94,0
04-09-2008,28.6,28.6,28.6,28.6,0
05-09-2008,31.01,31.01,31.01,31.01,0
08-09-2008,29.93,29.93,29.93,29.93,0
09-09-2008,32.95,32.95,32.95,32.95,0
10-09-2008,31.9,31.9,31.9,31.9,0
11-09-2008,30.44,30.44,30.44,30.44,0
12-09-2008,29.22,29.22,29.22,29.22,0
15-09-2008,29.79,29.79,29.79,29.79,0
16-09-2008,32.12,32.12,32.12,32.12,0
17-09-2008,33.01,33.01,33.01,33.01,0
18-09-2008,32.56,32.56,32.56,32.56,0
19-09-2008,32.33,32.33,32.33,32.33,0
22-09-2008,31.97,31.97,31.97,31.97,0
23-09-2008,33.19,33.19,33.19,33.19,0
25-09-2008,34.33,34.33,34.33,34.33,0
26-09-2008,34.82,34.82,34.82,34.82,0
29-09-2008,37.97,37.97,37.97,37.97,0
30-09-2008,37.29,37.29,37.29,37.29,0
01-10-2008,37.26,37.26,37.26,37.26,0
02-10-2008,38.48,38.48,38.48,38.48,0
03-10-2008,38.2,38.2,38.2,38.2,0
06-10-2008,40.49,40.49,40.49,40.49,0
07-10-2008,41.82,41.82,41.82,41.82,0
08-10-2008,43.19,43.19,43.19,43.19,0
09-10-2008,42.01,42.01,42.01,42.01,0
10-10-2008,45.47,45.47,45.47,45.47,0
13-10-2008,45.14,45.14,45.14,45.14,0
14-10-2008,42.83,42.83,42.83,42.83,0
15-10-2008,46.14,46.14,46.14,46.14,0
16-10-2008,46.15,46.15,46.15,46.15,0
17-10-2008,46.94,46.94,46.94,46.94,0
20-10-2008,45.53,45.53,45.53,45.53,0
21-10-2008,43.42,43.42,43.42,43.42,0
22-10-2008,45.35,45.35,45.35,45.35,0
23-10-2008,47.69,47.69,47.69,47.69,0
24-10-2008,55.53,55.53,55.53,55.53,0
27-10-2008,57.97,57.97,57.97,57.97,0
28-10-2008,53.99,53.99,53.99,53.99,0
29-10-2008,53.8,53.8,53.8,53.8,0
30-10-2008,52.22,52.22,52.22,52.22,0
31-10-2008,52.14,52.14,52.14,52.14,0
03-11-2008,50.71,50.71,50.71,50.71,0
04-11-2008,48.28,48.28,48.28,48.28,0
05-11-2008,47.45,47.45,47.45,47.45,0
06-11-2008,49.71,49.71,49.71,49.71,0
07-11-2008,50.07,50.07,50.07,50.07,0
10-11-2008,47.62,47.62,47.62,47.62,0
11-11-2008,48.89,48.89,48.89,48.89,0
12-11-2008,49.6,49.6,49.6,49.6,0
13-11-2008,52.25,52.25,52.25,52.25,0
14-11-2008,50.22,50.22,50.22,50.22,0
17-11-2008,53.01,53.01,53.01,53.01,0
18-11-2008,56.42,56.42,56.42,56.42,0
19-11-2008,55.89,55.89,55.89,55.89,0
20-11-2008,57.01,57.01,57.01,57.01,0
21-11-2008,56.23,56.23,56.23,56.23,0
24-11-2008,55.45,55.45,55.45,55.45,0
25-11-2008,52.28,52.28,52.28,52.28,0
26-11-2008,51.59,51.59,51.59,51.59,0
27-11-2008,49.04,49.04,49.04,49.04,0
28-11-2008,47.15,47.15,47.15,47.15,0
01-12-2008,49.66,49.66,49.66,49.66,0
02-12-2008,50.86,50.86,50.86,50.86,0
03-12-2008,52.2,52.2,52.2,52.2,0
04-12-2008,51.59,51.59,51.59,51.59,0
05-12-2008,51.18,51.18,51.18,51.18,0
08-12-2008,49.89,49.89,49.89,49.89,0
09-12-2008,48.14,48.14,48.14,48.14,0
10-12-2008,46.61,46.61,46.61,46.61,0
11-12-2008,47.31,47.31,47.31,47.31,0
12-12-2008,47.43,47.43,47.43,47.43,0
15-12-2008,47.73,47.73,47.73,47.73,0
17-12-2008,43.83,43.83,43.83,43.83,0
18-12-2008,43.2,43.2,43.2,43.2,0
19-12-2008,45.21,45.21,45.21,45.21,0
22-12-2008,44.42,44.42,44.42,44.42,0
23-12-2008,44.14,44.14,44.14,44.14,0
24-12-2008,44.32,44.32,44.32,44.32,0
29-12-2008,43.49,43.49,43.49,43.49,0
30-12-2008,44.62,44.62,44.62,44.62,0
31-12-2008,43.02,43.02,43.02,43.02,0
02-01-2009,42.91,42.91,42.91,42.91,0
05-01-2009,41.84,41.84,41.84,41.84,0
06-01-2009,41.14,41.14,41.14,41.14,0
07-01-2009,41.17,41.17,41.17,41.17,0
08-01-2009,42.74,42.74,42.74,42.74,0
09-01-2009,41.77,41.77,41.77,41.77,0
12-01-2009,40.39,40.39,40.39,40.39,0
13-01-2009,42.17,42.17,42.17,42.17,0
14-01-2009,43.57,43.57,43.57,43.57,0
15-01-2009,43.6,43.6,43.6,43.6,0
16-01-2009,42.41,42.41,42.41,42.41,0
19-01-2009,44.15,44.15,44.15,44.15,0
20-01-2009,44.25,44.25,44.25,44.25,0
21-01-2009,45.77,45.77,45.77,45.77,0
22-01-2009,45.93,45.93,45.93,45.93,0
23-01-2009,47.69,47.69,47.69,47.69,0
26-01-2009,44.76,44.76,44.76,44.76,0
27-01-2009,43.62,43.62,43.62,43.62,0
28-01-2009,42.18,42.18,42.18,42.18,0
29-01-2009,42.05,42.05,42.05,42.05,0
30-01-2009,41.62,41.62,41.62,41.62,0
02-02-2009,42.52,42.52,42.52,42.52,0
03-02-2009,42.65,42.65,42.65,42.65,0
04-02-2009,40.78,40.78,40.78,40.78,0
05-02-2009,40.61,40.61,40.61,40.61,0
06-02-2009,39.27,39.27,39.27,39.27,0
09-02-2009,38.04,38.04,38.04,38.04,0
10-02-2009,38.11,38.11,38.11,38.11,0
11-02-2009,38.54,38.54,38.54,38.54,0
12-02-2009,38.98,38.98,38.98,38.98,0
13-02-2009,38.16,38.16,38.16,38.16,0
16-02-2009,37.97,37.97,37.97,37.97,0
17-02-2009,39.14,39.14,39.14,39.14,0
18-02-2009,39.37,39.37,39.37,39.37,0
19-02-2009,39,39,39,39,0
20-02-2009,40.63,40.63,40.63,40.63,0
23-02-2009,39.6,39.6,39.6,39.6,0
24-02-2009,41.32,41.32,41.32,41.32,0
25-02-2009,40.69,40.69,40.69,40.69,0
26-02-2009,40.97,40.97,40.97,40.97,0
27-02-2009,42.37,42.37,42.37,42.37,0
02-03-2009,42.07,42.07,42.07,42.07,0
03-03-2009,42.47,42.47,42.47,42.47,0
04-03-2009,41.79,41.79,41.79,41.79,0
05-03-2009,42.02,42.02,42.02,42.02,0
06-03-2009,41.35,41.35,41.35,41.35,0
09-03-2009,41.18,41.18,41.18,41.18,0
10-03-2009,40.88,40.88,40.88,40.88,0
11-03-2009,39.87,39.87,39.87,39.87,0
12-03-2009,39.16,39.16,39.16,39.16,0
13-03-2009,36.97,36.97,36.97,36.97,0
16-03-2009,36.69,36.69,36.69,36.69,0
17-03-2009,37.61,37.61,37.61,37.61,0
18-03-2009,37.71,37.71,37.71,37.71,0
19-03-2009,36.5,36.5,36.5,36.5,0
20-03-2009,35.73,35.73,35.73,35.73,0
23-03-2009,32.04,32.04,32.04,32.04,0
24-03-2009,33.82,33.82,33.82,33.82,0
25-03-2009,33.45,33.45,33.45,33.45,0
26-03-2009,32.99,32.99,32.99,32.99,0
27-03-2009,33.5,33.5,33.5,33.5,0
30-03-2009,35.5,35.5,35.5,35.5,0
31-03-2009,34.02,34.02,34.02,34.02,0
01-04-2009,34.06,34.06,34.06,34.06,0
02-04-2009,32.79,32.79,32.79,32.79,0
03-04-2009,32.68,32.68,32.68,32.68,0
06-04-2009,34.01,34.01,34.01,34.01,0
07-04-2009,34.34,34.34,34.34,34.34,0
08-04-2009,33.89,33.89,33.89,33.89,0
09-04-2009,32.49,32.49,32.49,32.49,0
14-04-2009,31.73,31.73,31.73,31.73,0
15-04-2009,31.16,31.16,31.16,31.16,0
16-04-2009,32.25,32.25,32.25,32.25,0
17-04-2009,31.61,31.61,31.61,31.61,0
20-04-2009,34.21,34.21,34.21,34.21,0
21-04-2009,34.44,34.44,34.44,34.44,0
23-04-2009,33.67,33.67,33.67,33.67,0
24-04-2009,32.27,32.27,32.27,32.27,0
28-04-2009,33.76,33.76,33.76,33.76,0
29-04-2009,33.76,33.76,33.76,33.76,0
30-04-2009,32.5,32.5,32.5,32.5,0
04-05-2009,31.65,31.65,31.65,31.65,0
05-05-2009,31.03,31.03,31.03,31.03,0
06-05-2009,30.96,30.96,30.96,30.96,0
07-05-2009,30.79,30.79,30.79,30.79,0
